promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
      0  0.00000E+00  0.73112E-04  0.18337E+07  0.66684E-30  0.22237E-34  0.00000E+00  0.27694E+05  0.80050E+01  0.00000E+00  0.80000E+01  0.00000E+00 -0.20000E+00  0.27686E+05  0.18000E+01  0.80000E-02  0.69163E-15  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
     29  0.10000E-01  0.38480E-03  0.18338E+07  0.95042E-30  0.13147E-01  0.41379E-40  0.27695E+05  0.80050E+01  0.23752E-36  0.80000E+01 -0.86669E-24 -0.20016E+00  0.27687E+05  0.18000E+01  0.79993E-02  0.29705E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
     55  0.20000E-01  0.38480E-03  0.18339E+07  0.36286E-29  0.40621E-01  0.12730E-38  0.27696E+05  0.80050E+01  0.37325E-35  0.80000E+01 -0.16928E-23 -0.20020E+00  0.27688E+05  0.18000E+01  0.79976E-02  0.52528E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
     81  0.30000E-01  0.38479E-03  0.18340E+07  0.71328E-29  0.71654E-01  0.57800E-38  0.27697E+05  0.80050E+01  0.77381E-35  0.80000E+01 -0.11208E-22 -0.20023E+00  0.27689E+05  0.18000E+01  0.79951E-02  0.70050E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    107  0.40000E-01  0.38479E-03  0.18341E+07  0.11046E-28  0.10125E+00  0.26333E-37  0.27699E+05  0.80050E+01  0.95151E-35  0.80000E+01 -0.12329E-22 -0.20026E+00  0.27691E+05  0.18000E+01  0.79924E-02  0.83493E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    133  0.50000E-01  0.38479E-03  0.18342E+07  0.10271E-28  0.12737E+00  0.75905E-37  0.27700E+05  0.80050E+01  0.99266E-35  0.80000E+01 -0.10797E-22 -0.20027E+00  0.27692E+05  0.18000E+01  0.79896E-02  0.93802E-03  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    159  0.60000E-01  0.38479E-03  0.18343E+07  0.12008E-28  0.14972E+00  0.14525E-36  0.27702E+05  0.80050E+01  0.97553E-35  0.80000E+01 -0.30828E-22 -0.20029E+00  0.27694E+05  0.18000E+01  0.79867E-02  0.10180E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    185  0.70000E-01  0.38479E-03  0.18344E+07  0.13093E-28  0.16838E+00  0.23883E-36  0.27703E+05  0.80050E+01  0.12918E-34  0.80000E+01  0.34011E-22 -0.20030E+00  0.27695E+05  0.18000E+01  0.79838E-02  0.10800E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    211  0.80000E-01  0.38479E-03  0.18345E+07  0.16751E-28  0.18340E+00  0.41400E-36  0.27704E+05  0.80049E+01  0.16311E-34  0.79999E+01 -0.22111E-22 -0.20030E+00  0.27696E+05  0.18000E+01  0.79809E-02  0.11275E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    237  0.90000E-01  0.38478E-03  0.18346E+07  0.21805E-28  0.19502E+00  0.68392E-36  0.27706E+05  0.80049E+01  0.21552E-34  0.79999E+01 -0.34785E-22 -0.20031E+00  0.27697E+05  0.18000E+01  0.79783E-02  0.11629E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    263  0.10000E+00  0.38478E-03  0.18347E+07  0.26949E-28  0.20362E+00  0.98742E-36  0.27707E+05  0.80049E+01  0.30013E-34  0.79999E+01  0.29582E-22 -0.20031E+00  0.27699E+05  0.18001E+01  0.79759E-02  0.11884E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    289  0.11000E+00  0.38478E-03  0.18347E+07  0.34907E-28  0.20972E+00  0.14571E-35  0.27708E+05  0.80049E+01  0.43461E-34  0.79999E+01 -0.15160E-22 -0.20032E+00  0.27700E+05  0.18001E+01  0.79739E-02  0.12062E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    315  0.12000E+00  0.38477E-03  0.18348E+07  0.40526E-28  0.21383E+00  0.22036E-35  0.27709E+05  0.80048E+01  0.60947E-34  0.79998E+01  0.73317E-22 -0.20032E+00  0.27701E+05  0.18001E+01  0.79723E-02  0.12180E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    341  0.13000E+00  0.38477E-03  0.18349E+07  0.54191E-28  0.21643E+00  0.31201E-35  0.27710E+05  0.80048E+01  0.80154E-34  0.79998E+01  0.10996E-21 -0.20033E+00  0.27702E+05  0.18001E+01  0.79710E-02  0.12254E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    367  0.14000E+00  0.38476E-03  0.18350E+07  0.71075E-28  0.21829E+00  0.42867E-35  0.27711E+05  0.80048E+01  0.10832E-33  0.79998E+01  0.13279E-21 -0.20033E+00  0.27702E+05  0.18001E+01  0.79699E-02  0.12305E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    393  0.15000E+00  0.38476E-03  0.18351E+07  0.85373E-28  0.21965E+00  0.56808E-35  0.27711E+05  0.80048E+01  0.13810E-33  0.79998E+01  0.41867E-22 -0.20033E+00  0.27703E+05  0.18001E+01  0.79690E-02  0.12340E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    419  0.16000E+00  0.38476E-03  0.18351E+07  0.10168E-27  0.22066E+00  0.73705E-35  0.27712E+05  0.80047E+01  0.17457E-33  0.79997E+01  0.10219E-21 -0.20033E+00  0.27704E+05  0.18002E+01  0.79681E-02  0.12364E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    445  0.17000E+00  0.38477E-03  0.18352E+07  0.11709E-27  0.22144E+00  0.93014E-35  0.27713E+05  0.80047E+01  0.21778E-33  0.79997E+01  0.16895E-22 -0.20033E+00  0.27705E+05  0.18001E+01  0.79674E-02  0.12379E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
